bioguide_id,twitter_id
B001312,1343620645452595200
W000788,1345461797361504259
S000168,1325928411689349120
F000472,1343664721384398849
C001039,1344325638983987201
B000825,1342989756611907584
J000305,1345103905869455361
S001135,1343740146630451200
K000397,1344677401465397249
M001212,1339006078688825344
C001054,1341091420439015424
T000278,1345739193721487362
T000486,1276403757224546304
M000871,1345825008887721986
B001224,1002630999052865536
L000266,1345850704800468993
J000306,1345883634046279681
B000668,1345788865911656454
M001215,1345807954604412929
M001135,1337115670161608712
G000593,1343679195034103808
L000571,22831059
L000273,1345147845926670337
O000019,272482466
S001159,1343646545955213312
G000594,1343627416120532992
R000305,1348683154815655940
H000601,1346873610875654147
N000026,1347318288850825217
P000145,1351236267707654145
W000790,1352287997853622273
M001214,1346205046036377601
F000471,1004891731
K000396,1351966874377056257
T000478,797201048490430465
O000174,1356714265894408196
